run_id,corner,temp_c,vdd,status,vdiv_ratio,vbias,vbe,isup_ua
20260730T030555Z-292a8da,sf,-40.0,3.3,ok,0.5,1.0644330048,0.80952791545,76.363016062
20260730T030555Z-292a8da,sf,-40.0,3.63,ok,0.5,1.0823668971,0.80952791545,86.36938313
20260730T030555Z-292a8da,sf,27.0,2.97,ok,0.5,1.0236443523,0.69043645202,67.453560112
20260730T030555Z-292a8da,sf,27.0,3.3,ok,0.5,1.046600866,0.69043645202,77.401930712
20260730T030555Z-292a8da,sf,27.0,3.63,ok,0.5,1.0681719851,0.69043645202,87.387743953
20260730T030555Z-292a8da,sf,125.0,2.97,ok,0.5,0.99142283407,0.50733633818,68.446667201
20260730T030555Z-292a8da,sf,125.0,3.3,ok,0.5,1.0193862294,0.50733633818,78.27838266
20260730T030555Z-292a8da,sf,125.0,3.63,ok,0.5,1.0457820359,0.50733633818,88.152561731
20260730T030555Z-292a8da,res_ff,-40.0,2.97,ok,0.5,0.99254137699,0.80952791545,80.977861818
20260730T030555Z-292a8da,res_ff,-40.0,3.3,ok,0.5,1.0130266615,0.80952791545,92.978291454
20260730T030555Z-292a8da,res_ff,-40.0,3.63,ok,0.5,1.0323056154,0.80952791545,105.01906179
20260730T030555Z-292a8da,res_ff,27.0,2.97,ok,0.5,0.97636726154,0.69043645202,82.144303866
20260730T030555Z-292a8da,res_ff,27.0,3.3,ok,0.5,1.0009882415,0.69043645202,94.10225486
20260730T030555Z-292a8da,res_ff,27.0,3.63,ok,0.5,1.0242074337,0.69043645202,106.10752266
20260730T030555Z-292a8da,res_ff,125.0,2.97,ok,0.5,0.95142687666,0.50733633818,83.149752642
20260730T030555Z-292a8da,res_ff,125.0,3.3,ok,0.5,0.9815314357,0.50733633818,94.946912633
20260730T030555Z-292a8da,res_ff,125.0,3.63,ok,0.5,1.0100301234,0.50733633818,106.79840834
20260730T030555Z-292a8da,res_ss,-40.0,2.97,ok,0.5,0.94554237809,0.80952791545,60.053054851
20260730T030555Z-292a8da,res_ss,-40.0,3.3,ok,0.5,0.96229276443,0.80952791545,68.697441552
20260730T030555Z-292a8da,res_ss,-40.0,3.63,ok,0.5,0.97797785917,0.80952791545,77.365614592
20260730T030555Z-292a8da,res_ss,27.0,2.97,ok,0.5,0.91939882722,0.69043645202,61.060386757
20260730T030555Z-292a8da,res_ss,27.0,3.3,ok,0.5,0.93948928584,0.69043645202,69.694211772
20260730T030555Z-292a8da,res_ss,27.0,3.63,ok,0.5,0.95836066206,0.69043645202,78.355508862
20260730T030555Z-292a8da,res_ss,125.0,2.97,ok,0.5,0.88098900181,0.50733633818,62.029989967
20260730T030555Z-292a8da,res_ss,125.0,3.3,ok,0.5,0.90542535853,0.50733633818,70.581097542
20260730T030555Z-292a8da,res_ss,125.0,3.63,ok,0.5,0.92849153963,0.50733633818,79.163150321
20260730T030555Z-292a8da,bjt_ff,-40.0,2.97,ok,0.5,0.96567083894,0.79409677304,68.521032459
20260730T030555Z-292a8da,bjt_ff,-40.0,3.3,ok,0.5,0.98397718916,0.79409677304,78.517426015
20260730T030555Z-292a8da,bjt_ff,-40.0,3.63,ok,0.5,1.0011592802,0.79409677304,88.543924483
20260730T030555Z-292a8da,bjt_ff,27.0,2.97,ok,0.5,0.94380990047,0.67006993001,69.611221477
20260730T030555Z-292a8da,bjt_ff,27.0,3.3,ok,0.5,0.96579577283,0.67006993001,79.585825307
20260730T030555Z-292a8da,bjt_ff,27.0,3.63,ok,0.5,0.98648562762,0.67006993001,89.595456207
20260730T030555Z-292a8da,bjt_ff,125.0,2.97,ok,0.5,0.91117206205,0.47988503295,70.620539414
20260730T030555Z-292a8da,bjt_ff,125.0,3.3,ok,0.5,0.93798894447,0.47988503295,80.483312175
20260730T030555Z-292a8da,bjt_ff,125.0,3.63,ok,0.5,0.9633368784,0.47988503295,90.385876532
20260730T030555Z-292a8da,bjt_ss,-40.0,2.97,ok,0.5,0.96567083894,0.82566051711,68.521032459
20260730T030555Z-292a8da,bjt_ss,-40.0,3.3,ok,0.5,0.98397718916,0.82566051711,78.517426015
20260730T030555Z-292a8da,bjt_ss,-40.0,3.63,ok,0.5,1.0011592802,0.82566051711,88.543924483
20260730T030555Z-292a8da,bjt_ss,27.0,2.97,ok,0.5,0.94380990047,0.71230393474,69.611221477
20260730T030555Z-292a8da,bjt_ss,27.0,3.3,ok,0.5,0.96579577283,0.71230393474,79.585825307
20260730T030555Z-292a8da,bjt_ss,27.0,3.63,ok,0.5,0.98648562762,0.71230393474,89.595456207
20260730T030555Z-292a8da,bjt_ss,125.0,2.97,ok,0.5,0.91117206205,0.53729889628,70.620539414
20260730T030555Z-292a8da,bjt_ss,125.0,3.3,ok,0.5,0.93798894447,0.53729889628,80.483312175
20260730T030555Z-292a8da,bjt_ss,125.0,3.63,ok,0.5,0.9633368784,0.53729889628,90.385876532
